MoldName,SaveDate,Materials,Colour,MoldNum
9,2019/3/4-16:17:43,9,9,9
,,,,
DataID,DataValue,,,
0x874,65535,,,
0x875,65535,,,
0x876,65535,,,
0x877,65535,,,
0x878,65535,,,
0x879,65535,,,
0x87A,65535,,,
0x87B,65535,,,
0x87C,65535,,,
0x87D,65535,,,
0x87E,65535,,,
0x87F,65535,,,
0x880,65535,,,
0x881,65535,,,
0x882,65535,,,
0x883,65535,,,
0x884,65535,,,
0x885,65535,,,
0x886,65535,,,
0x887,65535,,,
0x888,65535,,,
0x889,65535,,,
0x88A,65535,,,
0x88B,65535,,,
0x88C,65535,,,
0x88D,65535,,,
0x88E,65535,,,
0x88F,65535,,,
0x890,65535,,,
0x891,65535,,,
0x892,65535,,,
0x893,65535,,,
0x894,65535,,,
0x895,65535,,,
0x896,65535,,,
0x897,65535,,,
0x898,65535,,,
0x899,65535,,,
0x89A,65535,,,
0x89B,65535,,,
0x89C,65535,,,
0x89D,65535,,,
0x89E,65535,,,
0x89F,65535,,,
0x8A0,65535,,,
0x8A1,65535,,,
0x8A2,65535,,,
0x8A3,65535,,,
0x8A4,65535,,,
0x8A5,65535,,,
0x8A6,65535,,,
0x8A7,65535,,,
0x8A8,65535,,,
0x8A9,65535,,,
0x8AA,65535,,,
0x8AB,65535,,,
0x8AC,65535,,,
0x8AD,65535,,,
0x8AE,65535,,,
0x8AF,65535,,,
0x8B0,65535,,,
0x8B1,65535,,,
0x8B2,65535,,,
0x8B3,65535,,,
0x8B4,65535,,,
0x8B5,65535,,,
0x8B6,65535,,,
0x8B7,65535,,,
0x8B8,65535,,,
0x8B9,65535,,,
0x8BA,65535,,,
0x8BB,65535,,,
0x8BC,65535,,,
0x8BD,65535,,,
0x8BE,65535,,,
0x8BF,65535,,,
0x8C0,65535,,,
0x8C1,65535,,,
0x8C2,65535,,,
0x8C3,65535,,,
0x8C4,65535,,,
0x8C5,65535,,,
0x8C6,65535,,,
0x8C7,65535,,,
0x8C8,65535,,,
0x8C9,65535,,,
0x8CA,65535,,,
0x8CB,65535,,,
0x8CC,65535,,,
0x8CD,65535,,,
0x8CE,65535,,,
0x8CF,65535,,,
0x8D0,0,,,
0x8D1,0,,,
0x8D2,0,,,
0x8D3,0,,,
0x8D4,0,,,
0x8D5,0,,,
0x8D6,0,,,
0x8D7,0,,,
0x8D8,0,,,
0x8D9,0,,,
0x8DA,0,,,
0x8DB,0,,,
0x8DC,0,,,
0x8DD,0,,,
0x8DE,0,,,
0x8DF,0,,,
0x8E0,0,,,
0x8E1,0,,,
0x8E2,0,,,
0x8E3,0,,,
0x8E4,0,,,
0x8E5,0,,,
0x8E6,0,,,
0x8E7,0,,,
0x8E8,0,,,
0x8E9,0,,,
0x8EA,0,,,
0x8EB,0,,,
0x8EC,0,,,
0x8ED,0,,,
0x8EE,0,,,
0x8EF,0,,,
0x8F0,65535,,,
0x8F1,65535,,,
0x8F2,65535,,,
0x8F3,65535,,,
0x8F4,65535,,,
0x8F5,65535,,,
0x8F6,65535,,,
0x8F7,65535,,,
0x8F8,65535,,,
0x8F9,65535,,,
0x8FA,65535,,,
0x8FB,65535,,,
0x8FC,65535,,,
0x8FD,65535,,,
0x8FE,65535,,,
0x8FF,42390,,,
0xA31,0,,,
0xA33,0,,,
0xA35,0,,,
0xA37,0,,,
0xA39,0,,,
0xA3A,0,,,
0xA3B,0,,,
0xA3C,0,,,
0xA3D,0,,,
0xA3E,0,,,
0xA3F,0,,,
0xA40,0,,,
0xA41,0,,,
0xA42,0,,,
0xA43,0,,,
0xA44,0,,,
0xA45,0,,,
0xA46,0,,,
0xA47,0,,,
0xA48,0,,,
0xA49,0,,,
0xA4A,0,,,
0xA4B,0,,,
0xA4C,0,,,
