NO.,Time,#1 SetValue,#1 RealValue,#2 SetValue,#2 RealValue,#3 SetValue,#3 RealValue,#4 SetValue,#4 RealValue,#5 SetValue,#5 RealValue,#6 SetValue,#6 RealValue,#7 SetValue,#7 RealValue,#8 SetValue,#8 RealValue,#9 SetValue,#9 RealValue
1052,04/04/2019 15:09:43,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1053,04/04/2019 15:09:46,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1054,04/04/2019 15:09:50,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1055,04/04/2019 15:09:54,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1056,04/04/2019 15:09:58,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1057,04/04/2019 15:10:02,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1058,04/04/2019 15:10:06,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1059,04/04/2019 15:10:10,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1060,04/04/2019 15:10:14,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1061,04/04/2019 15:10:18,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1062,04/04/2019 15:10:22,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1063,04/04/2019 15:10:26,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1064,04/04/2019 15:10:30,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1065,04/04/2019 15:10:34,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1066,04/04/2019 15:10:38,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1067,04/04/2019 15:10:42,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1068,04/04/2019 15:10:46,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1069,04/04/2019 15:10:50,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1070,04/04/2019 15:10:54,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1071,04/04/2019 15:10:58,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1072,04/04/2019 15:11:02,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1073,04/04/2019 15:11:06,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1074,04/04/2019 15:11:10,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1075,04/04/2019 15:11:14,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1076,04/04/2019 15:11:18,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1077,04/04/2019 15:11:22,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1078,04/04/2019 15:11:26,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1079,04/04/2019 15:11:30,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1080,04/04/2019 15:11:34,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1081,04/04/2019 15:11:37,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1082,04/04/2019 15:11:41,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1083,04/04/2019 15:11:45,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1084,04/04/2019 15:11:49,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
